problema;modelo;ub_cmax;fl_ub_cmax;num_maquina;num_jobs;number_of_constraints;number_of_variables;best_bound;funcao_objetivo;number_of_var_values;has_hit_limit;mip_relative_gap;nb_iterations;nb_nodes_processed;nb_linear_nonzeros;status;time;fl_inteiro
ID001_M003_J004;minla_fav;0;s/ ub;3;4;48;31;29.000000000000004;29.000000000000004;21;False;0.0;48;0;132;integer optimal solution;0.005406856536865234;True 
ID001_M003_J004;manne;0;s/ ub;3;4;48;31;29.0;29.0;20;False;0.0;45;0;132;integer optimal solution;0.007989883422851562;True 
ID001_M003_J004;minla_fav;0;s/ ub;3;4;48;31;nan;23.0;22;False;nan;21;0;132;optimal;0.00048089027404785156;False 
ID001_M003_J004;manne;0;s/ ub;3;4;48;31;nan;23.0;22;False;nan;21;0;132;optimal;0.0005090236663818359;False 
ID002_M003_J005;minla_fav;0;s/ ub;3;5;75;46;32.999989992900005;33.0;33;False;3.032454543893783e-07;341;55;210;integer optimal, tolerance;0.014489889144897461;True 
ID002_M003_J005;manne;0;s/ ub;3;5;75;46;33.0;33.0;30;False;0.0;66;0;210;integer optimal solution;0.011224031448364258;True 
ID002_M003_J005;minla_fav;0;s/ ub;3;5;75;46;nan;23.0;33;False;nan;32;0;210;optimal;0.0005061626434326172;False 
ID002_M003_J005;manne;0;s/ ub;3;5;75;46;nan;23.0;33;False;nan;32;0;210;optimal;0.0005538463592529297;False 
ID003_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;1209.9019301732442;1210.0;1019;False;8.104944359984306e-05;30921543;254698;9900;integer optimal, tolerance;550.6485350131989;True 
ID003_M015_J015;minla_fav;1242;c/ ub;15;15;3375;1801;1209.9999899678;1210.0;1024;False;8.291074340947803e-09;51934380;461783;9900;integer optimal, tolerance;753.2158560752869;True 
ID003_M015_J015;manne;0;s/ ub;15;15;3375;1801;1209.920792079208;1210.000000000003;1014;False;6.546109156606283e-05;28892227;212400;9900;integer optimal, tolerance;538.653566122055;True 
ID003_M015_J015;manne;1242;c/ ub;15;15;3375;1801;1209.8823529411766;1210.0;1020;False;9.722897423422535e-05;41390630;369979;9900;integer optimal, tolerance;639.2244918346405;True 
ID003_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;nan;963.0;1033;False;nan;1032;0;9900;optimal;0.02000904083251953;False 
ID003_M015_J015;minla_fav;1242;c/ ub;15;15;3375;1801;nan;963.0;1033;False;nan;1032;0;9900;optimal;0.017706871032714844;False 
ID003_M015_J015;manne;0;s/ ub;15;15;3375;1801;nan;963.0;1033;False;nan;1032;0;9900;optimal;0.01799798011779785;False 
ID003_M015_J015;manne;1242;c/ ub;15;15;3375;1801;nan;963.0;1033;False;nan;1032;0;9900;optimal;0.018445968627929688;False 
ID004_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;1176.9454545454546;1177.0;983;False;4.634278211164002e-05;100011405;620376;9900;integer optimal, tolerance;1654.6783020496368;True 
ID004_M015_J015;minla_fav;1249;c/ ub;15;15;3375;1801;1176.8965517241377;1177.0000000000143;986;False;8.789148332764176e-05;215307447;1157542;9900;integer optimal, tolerance;3611.6993911266327;True 
ID004_M015_J015;manne;0;s/ ub;15;15;3375;1801;1176.8835820905388;1177.0;988;False;9.89107132210907e-05;150972971;845080;9900;integer optimal, tolerance;2519.0464630126953;True 
ID004_M015_J015;manne;1249;c/ ub;15;15;3375;1801;1176.882433356125;1177.0;992;False;9.98866982795833e-05;170141306;1231768;9900;integer optimal, tolerance;2420.8387858867645;True 
ID004_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;nan;942.0;1024;False;nan;1023;0;9900;optimal;0.017539024353027344;False 
ID004_M015_J015;minla_fav;1249;c/ ub;15;15;3375;1801;nan;942.0;1024;False;nan;1023;0;9900;optimal;0.01795196533203125;False 
ID004_M015_J015;manne;0;s/ ub;15;15;3375;1801;nan;942.0;1024;False;nan;1023;0;9900;optimal;0.018024921417236328;False 
ID004_M015_J015;manne;1249;c/ ub;15;15;3375;1801;nan;942.0;1024;False;nan;1023;0;9900;optimal;0.01768016815185547;False 
ID005_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;1196.9178079214948;1197.0000000000018;1010;False;6.866506140933238e-05;85945836;421267;9900;integer optimal, tolerance;1588.2864780426025;True 
ID005_M015_J015;minla_fav;1233;c/ ub;15;15;3375;1801;1196.8803418803416;1197.0000000000002;1003;False;9.996501224615047e-05;175143860;1349320;9900;integer optimal, tolerance;2385.7973709106445;True 
ID005_M015_J015;manne;0;s/ ub;15;15;3375;1801;1196.8832393972104;1197.0;1007;False;9.754436323270235e-05;90114042;503231;9900;integer optimal, tolerance;1490.6799111366272;True 
ID005_M015_J015;manne;1233;c/ ub;15;15;3375;1801;1196.9010989010992;1196.999999995;1002;False;8.26241385975391e-05;159060259;1143421;9900;integer optimal, tolerance;2235.4947080612183;True 
ID005_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;nan;921.0;1146;False;nan;1145;0;9900;optimal;0.0219879150390625;False 
